Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piece Name,Set Name,Piece Type,Rarity,Base Def.,Fire Res.,Water Res.,Thunder Res.,Ice Res.,Dragon Res.,Lvl 1 Deco Slots,Lvl 2 Deco Slots,Lvl 3 Deco Slots,Text Description,Skill 1,Skill 1 Lvl,Skill 2,Skill 2 Lvl,Skill 3,Skill 3 Lvl,Group Skill,Set Bonus,Forging Price,Forge Mat 1,Forge Mat 1 Qty,Forge Mat 2,Forge Mat 2 Qty,Forge Mat 3,Forge Mat 3 Qty,Forge Mat 4,Forge Mat 4 Qty
Hope Mask,Hope,Head,1,2,1,0,1,0,0,-,-,-,Armor crafted specifically for members of the expedition. The mask keeps the sand out.,Stun Resistance,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Hope Mail,Hope,Chest,1,2,1,0,1,0,0,-,-,-,Armor crafted specifically for members of the expedition. An all-seasons design for any clime. [sic],Divine Blessing,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Hope Vambraces,Hope,Arms,1,2,1,0,1,0,0,-,-,-,Armor crafted specifically for members of the expedition. Pliant fingers help with precision work.,Divine Blessing,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Hope Coil,Hope,Waist,1,2,1,0,1,0,0,-,-,-,Armor crafted specifically for members of the expedition. It is optimized for quick access.,Stun Resistance,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Hope Greaves,Hope,Legs,1,2,1,0,1,0,0,-,-,-,Armor crafted specifically for members of the expedition. It can handle nearly any terrain.,Divine Blessing,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Leather Headgear,Leather,Head,1,2,2,0,0,0,0,-,-,-,"Head armor made of treated monster hide. A safe choice, designed for multi-purpose use.",Botanist,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Leather Vest,Leather,Chest,1,2,2,0,0,0,0,-,-,-,Simple chest armor reinforced with monster hide. A design that maximizes wearability.,Botanist,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Leather Gloves,Leather,Arms,1,2,2,0,0,0,0,-,-,-,"Armguards reinforced with monster hide. They're light, but provide ample protection",Hunger Resistance,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Leather Belt,Leather,Waist,1,2,2,0,0,0,0,-,-,-,Waistgear reinforced with monster hide. Hunters swear by it's no-nonsense functionality.,Botanist,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Leather Pants,Leather,Legs,1,2,2,0,0,0,0,-,-,-,Leg armor reinforced with monster hide. Molds to the body with extended use.,Botanist,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Chainmail Headgear,Chainmail,Head,1,2,0,2,0,0,0,-,-,-,Head armor made of woven chain links. Its familiar design inspires trust in hunters who wear it.,Geologist,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Chainmail Vest,Chainmail,Chest,1,2,0,2,0,0,0,-,-,-,"Chest armor made of woven chain links. Tried and true, it offers solid, functional defense.",Geologist,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Chainmail Gloves,Chainmail,Arms,1,2,0,2,0,0,0,-,-,-,Armguards made of woven chain links. They're easy to use and a breeze to maintain.,Geologist,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Chainmail Belt,Chainmail,Waist,1,2,0,2,0,0,0,-,-,-,Waistgear made of woven chain links. A smart combination of materials keeps it extra light.,Recovery Speed,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Chainmail Pants,Chainmail,Legs,1,2,0,2,0,0,0,-,-,-,Leg armor made of woven chain links. The clever weave prevents it from impairing movement.,Recovery Speed,1,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-
Bone Helm,Bone,Head,1,4,2,0,2,0,2,-,-,-,"Traditional head armor crafted from monster bones. Believe it or not, it offers pretty good insulation.",Marathon Runner,1,-,-,-,-,-,-,100,Mystery Bone,1,-,-,-,-,-,-
Bone Mail,Bone,Chest,1,4,2,0,2,0,2,-,-,-,Traditional chest armor with a unique plating of intricately pieced together monster bones.,Marathon Runner,1,-,-,-,-,-,-,100,Mystery Bone,1,-,-,-,-,-,-
Bone Vambraces,Bone,Arms,1,4,2,0,2,0,2,-,-,-,Traditional armguards made from monster bones. It's a wonder these mismatched shapes fit together.,Stun Resistance,1,-,-,-,-,-,-,100,Mystery Bone,1,-,-,-,-,-,-
Bone Coil,Bone,Waist,1,4,2,0,2,0,2,-,-,-,"Traditional waistgear bound with monster bones. Looks crude, but it does the job.",Marathon Runner,1,-,-,-,-,-,-,100,Mystery Bone,1,-,-,-,-,-,-
Bone Greaves,Bone,Legs,1,4,2,0,2,0,2,-,-,-,Traditional leg armor crafted from monster bones so light it's like wearing nothing at all.,Stun Resistance,1,-,-,-,-,-,-,100,Mystery Bone,1,-,-,-,-,-,-
Bulaqchi Specs,Bulaqchi,Head,1,4,-4,1,1,-2,4,-,-,-,Spectacles made from Bulaqchi parts. The hottest new design for the stylish hunter.,Entomologist,1,-,-,-,-,-,-,100,Bulaqchi Shell,2,-,-,-,-,-,-
Talioth Vambraces,Talioth,Arms,1,4,4,-2,-2,-2,2,-,-,-,Talioth armguards. The forearm blades are a classic example of style over practicality.,Leap of Faith,1,-,-,-,-,-,-,100,Talioth Scale,1,Sharp Fang,1,-,-,-,-
Chatacabra Helm,Chatacabra,Head,1,6,1,2,-3,-1,1,-,-,-,Chatacabra head armor. The design is specially tailored for deseert hunting.,Speed Eating,1,-,-,-,-,-,-,200,Chatacabra Scale,2,Chatacabra Jaw,1,-,-,-,-
Chatacabra Mail,Chatacabra,Chest,1,6,1,2,-3,-1,1,-,-,-,Chatacabra chest armor. Equipped with generous elastic cushioning in the collar.,Speed Eating,1,-,-,-,-,-,-,200,Chatacabra Scale,2,Chatacabra Hide,2,Chatacabra Shell,1,-,-
